"Time [ms]","Moving1.Torque [NewtonMeter]"
0,225.77324453898
0.25,205.420663941741
0.5,236.864446881405
0.75,195.449672281558
1,244.180127404226
1.25,214.170428070519
1.5,198.575360143272
1.75,252.655612010893
2,194.113518315007
2.25,227.223139555847
2.5,225.748618516234
2.75,205.412219052579
3,236.844015357585
3.25,195.431671037362
3.5,244.165252898723
3.75,214.150662953331
4,198.562844578339
4.25,252.631536642475
4.5,194.101341247208
4.75,227.208064912342
5,225.724582764826
5.25,205.403896429835
5.5,236.823582478287
5.75,195.413675164581
6,244.150372326262
6.25,214.130880453521
6.5,198.550325397919
6.75,252.607465593772
7,194.089166392347
7.25,227.192989765503
7.5,225.700543428705
7.75000000000001,205.39557570305
8.00000000000001,236.803148169273
8.25000000000001,195.395684630388
8.50000000000001,244.135487697526
8.75000000000001,214.111115792848
9.00000000000001,198.537803113205
9.25000000000001,252.583393617266
9.50000000000001,194.076994027202
9.75000000000001,227.177912340973
10,225.67650426575
10.25,205.387253369773
10.5,236.782712460146
10.75,195.377699445477
11,244.120599833713
11.25,214.091351408292
11.5,198.525285433741
11.75,252.55932096748
12,194.064824305222
12.25,227.162832571408
12.5,225.652466795766
12.75,205.378929333094
13,236.762275378874
13.25,195.359719758962
13.5,244.105698429531
13.75,214.07158717448
14,198.512766710793
14.25,252.535247555982
14.5,194.05265770882
14.75,227.147750250419
15,225.628429416728
