"Time [ms]","CoreLoss [W]"
0,0
0.25,338.53406104003
0.5,287.952703851317
0.75,276.602659058631
1,485.229397326106
1.25,191.699080057395
1.5,376.360606158354
1.75,394.141787068886
2,216.905305565887
2.25,412.02523200666
2.5,299.479560769816
2.75,423.756745098145
3,377.632145305261
3.25,423.868016822925
3.5,685.677868063189
3.75,301.02927282002
4,589.45925482588
4.25,593.514976378846
4.5,390.928002200846
4.75,621.676741267123
5,479.648739949486
5.25,613.300882513549
5.5,466.931902319238
5.75,492.591073620489
6,750.959628084106
6.25,330.797722267266
6.5,616.298619698296
6.75,614.351683992007
7,396.665017751241
7.25,625.707957170395
7.5,479.611393851251
7.75000000000001,613.410230176023
8.00000000000001,466.856290331021
8.25000000000001,492.633920009156
8.50000000000001,750.950391027878
8.75000000000001,330.792187001627
9.00000000000001,616.340513696337
9.25000000000001,614.271445524367
9.50000000000001,396.75255711093
9.75000000000001,625.662499952071
10,479.574035480543
10.25,613.519676616503
10.5,466.780720188953
10.75,492.676855826022
11,750.942282303373
11.25,330.786908777558
11.5,616.382361675295
11.75,614.190743222646
12,396.840125027017
12.25,625.617372370624
12.5,479.538205239633
12.75,613.62989748213
13,466.705091468365
13.25,492.719927977609
13.5,750.933102212258
13.75,330.781134905687
14,616.424155736872
14.25,614.109591143914
14.5,396.928122428517
14.75,625.571739143079
15,479.502553075687
